category,run_name,model,model_display,model_name,window,sfreq,shuffle_labels,n_subjects_requested,ablation_seed,n_selected_subjects,n_selected_subjects_config,n_all_unique_subjects,n_unique_subjects,n_folds,X_train_val_shape,train_val_path,checkpoint_dir,run_dir
baseline,cnn_0200_250hz,cnn,CNN-v1,cnn,0200,250,False,,,,,,18,,"(28265, 32, 51)",/workspace/data/inputs,/workspace/data/checkpoints/cnn_0200_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0200_250hz
baseline,cnn_0800_250hz,cnn,CNN-v1,cnn,0800,250,False,,,,,,18,,"(28265, 32, 201)",/workspace/data/inputs,/workspace/data/checkpoints/cnn_0800_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0800_250hz
baseline,cnn_0800_250hz_shuffle,cnn,CNN-v1,cnn,0800,250,True,,,,,,18,,"(28265, 32, 201)",/workspace/data/inputs,/workspace/data/checkpoints/cnn_0800_250hz_shuffle,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0800_250hz_shuffle
baseline,cnn_300500_250hz,cnn,CNN-v1,cnn,300500,250,False,,,,,,18,,"(28265, 32, 51)",/workspace/data/inputs,/workspace/data/checkpoints/cnn_300500_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_300500_250hz
baseline,cnn_500800_250hz,cnn,CNN-v1,cnn,500800,250,False,,,,,,18,,"(28265, 32, 76)",/workspace/data/inputs,/workspace/data/checkpoints/cnn_500800_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_500800_250hz
baseline,cnn_0200_1000hz,cnn,CNN-v1,cnn,0200,1000,False,,,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/baseline,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0200_1000hz
baseline,cnn_0800_1000hz,cnn,CNN-v1,cnn,0800,1000,False,,,18.0,18.0,18.0,18,5.0,"(28265, 32, 801)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/baseline,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_0800_1000hz
baseline,cnn_300500_1000hz,cnn,CNN-v1,cnn,300500,1000,False,,,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/baseline,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_300500_1000hz
baseline,cnn_500800_1000hz,cnn,CNN-v1,cnn,500800,1000,False,,,18.0,18.0,18.0,18,5.0,"(28265, 32, 301)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/baseline,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_500800_1000hz
baseline,cnn_v2_0200_250hz,cnn_v2,CNN-v2,cnn_v2,0200,250,False,,,18.0,18.0,18.0,18,5.0,"(28265, 32, 51)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/baseline/cnn_v2_0200_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_0200_250hz
baseline,cnn_v2_0800_250hz_shuffle,cnn_v2,CNN-v2,cnn_v2,0800,250,True,,,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/baseline/cnn_v2_0800_250hz_shuffle,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_0800_250hz_shuffle
baseline,cnn_v2_0800_250hz,cnn_v2,CNN-v2,cnn_v2,0800,250,False,,,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/baseline/cnn_v2_0800_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_0800_250hz
baseline,cnn_v2_300500_250hz,cnn_v2,CNN-v2,cnn_v2,300500,250,False,,,18.0,18.0,18.0,18,5.0,"(28265, 32, 51)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/baseline/cnn_v2_300500_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_300500_250hz
baseline,cnn_v2_500800_250hz,cnn_v2,CNN-v2,cnn_v2,500800,250,False,,,18.0,18.0,18.0,18,5.0,"(28265, 32, 76)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/baseline/cnn_v2_500800_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/cnn_v2_500800_250hz
baseline,eegnet_0800_250hz_shuffle,eegnet,EEGNet,eegnet,0800,250,True,,,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/baseline/eegnet_0800_250hz_shuffle,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/eegnet_0800_250hz_shuffle
baseline,eegnet_0800_250hz,eegnet,EEGNet,eegnet,0800,250,False,,,,,,18,,"(28265, 32, 201)",/workspace/data/inputs,/workspace/data/checkpoints/eegnet_0800_250hz,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/baseline/eegnet_0800_250hz
subject_ablation,cnn_0800_250hz_nsubj02_seed001,cnn,CNN-v1,cnn,0800,250,False,2.0,1.0,2.0,2.0,18.0,2,2.0,"(3254, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj02/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj02/seed001
subject_ablation,cnn_0800_250hz_nsubj02_seed002,cnn,CNN-v1,cnn,0800,250,False,2.0,2.0,2.0,2.0,18.0,2,2.0,"(3102, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj02/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj02/seed002
subject_ablation,cnn_0800_250hz_nsubj02_seed003,cnn,CNN-v1,cnn,0800,250,False,2.0,3.0,2.0,2.0,18.0,2,2.0,"(2903, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj02/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj02/seed003
subject_ablation,cnn_0800_250hz_nsubj02_seed004,cnn,CNN-v1,cnn,0800,250,False,2.0,4.0,2.0,2.0,18.0,2,2.0,"(3261, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj02/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj02/seed004
subject_ablation,cnn_0800_250hz_nsubj02_seed005,cnn,CNN-v1,cnn,0800,250,False,2.0,5.0,2.0,2.0,18.0,2,2.0,"(3155, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj02/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj02/seed005
subject_ablation,cnn_0800_250hz_nsubj04_seed001,cnn,CNN-v1,cnn,0800,250,False,4.0,1.0,4.0,4.0,18.0,4,4.0,"(6670, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj04/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj04/seed001
subject_ablation,cnn_0800_250hz_nsubj04_seed002,cnn,CNN-v1,cnn,0800,250,False,4.0,2.0,4.0,4.0,18.0,4,4.0,"(6669, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj04/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj04/seed002
subject_ablation,cnn_0800_250hz_nsubj04_seed003,cnn,CNN-v1,cnn,0800,250,False,4.0,3.0,4.0,4.0,18.0,4,4.0,"(6531, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj04/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj04/seed003
subject_ablation,cnn_0800_250hz_nsubj04_seed004,cnn,CNN-v1,cnn,0800,250,False,4.0,4.0,4.0,4.0,18.0,4,4.0,"(6237, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj04/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj04/seed004
subject_ablation,cnn_0800_250hz_nsubj04_seed005,cnn,CNN-v1,cnn,0800,250,False,4.0,5.0,4.0,4.0,18.0,4,4.0,"(6256, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj04/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj04/seed005
subject_ablation,cnn_0800_250hz_nsubj06_seed001,cnn,CNN-v1,cnn,0800,250,False,6.0,1.0,6.0,6.0,18.0,6,5.0,"(9457, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj06/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj06/seed001
subject_ablation,cnn_0800_250hz_nsubj06_seed002,cnn,CNN-v1,cnn,0800,250,False,6.0,2.0,6.0,6.0,18.0,6,5.0,"(9545, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj06/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj06/seed002
subject_ablation,cnn_0800_250hz_nsubj06_seed003,cnn,CNN-v1,cnn,0800,250,False,6.0,3.0,6.0,6.0,18.0,6,5.0,"(9284, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj06/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj06/seed003
subject_ablation,cnn_0800_250hz_nsubj06_seed004,cnn,CNN-v1,cnn,0800,250,False,6.0,4.0,6.0,6.0,18.0,6,5.0,"(9111, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj06/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj06/seed004
subject_ablation,cnn_0800_250hz_nsubj06_seed005,cnn,CNN-v1,cnn,0800,250,False,6.0,5.0,6.0,6.0,18.0,6,5.0,"(9918, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj06/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj06/seed005
subject_ablation,cnn_0800_250hz_nsubj08_seed001,cnn,CNN-v1,cnn,0800,250,False,8.0,1.0,8.0,8.0,18.0,8,5.0,"(12055, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj08/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj08/seed001
subject_ablation,cnn_0800_250hz_nsubj08_seed002,cnn,CNN-v1,cnn,0800,250,False,8.0,2.0,8.0,8.0,18.0,8,5.0,"(12342, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj08/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj08/seed002
subject_ablation,cnn_0800_250hz_nsubj08_seed003,cnn,CNN-v1,cnn,0800,250,False,8.0,3.0,8.0,8.0,18.0,8,5.0,"(12621, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj08/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj08/seed003
subject_ablation,cnn_0800_250hz_nsubj08_seed004,cnn,CNN-v1,cnn,0800,250,False,8.0,4.0,8.0,8.0,18.0,8,5.0,"(12601, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj08/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj08/seed004
subject_ablation,cnn_0800_250hz_nsubj08_seed005,cnn,CNN-v1,cnn,0800,250,False,8.0,5.0,8.0,8.0,18.0,8,5.0,"(12826, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj08/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj08/seed005
subject_ablation,cnn_0800_250hz_nsubj10_seed001,cnn,CNN-v1,cnn,0800,250,False,10.0,1.0,10.0,10.0,18.0,10,5.0,"(16223, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj10/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj10/seed001
subject_ablation,cnn_0800_250hz_nsubj10_seed002,cnn,CNN-v1,cnn,0800,250,False,10.0,2.0,10.0,10.0,18.0,10,5.0,"(15825, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj10/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj10/seed002
subject_ablation,cnn_0800_250hz_nsubj10_seed003,cnn,CNN-v1,cnn,0800,250,False,10.0,3.0,10.0,10.0,18.0,10,5.0,"(15949, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj10/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj10/seed003
subject_ablation,cnn_0800_250hz_nsubj10_seed004,cnn,CNN-v1,cnn,0800,250,False,10.0,4.0,10.0,10.0,18.0,10,5.0,"(15677, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj10/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj10/seed004
subject_ablation,cnn_0800_250hz_nsubj10_seed005,cnn,CNN-v1,cnn,0800,250,False,10.0,5.0,10.0,10.0,18.0,10,5.0,"(15820, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj10/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj10/seed005
subject_ablation,cnn_0800_250hz_nsubj12_seed001,cnn,CNN-v1,cnn,0800,250,False,12.0,1.0,12.0,12.0,18.0,12,5.0,"(18396, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj12/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj12/seed001
subject_ablation,cnn_0800_250hz_nsubj12_seed002,cnn,CNN-v1,cnn,0800,250,False,12.0,2.0,12.0,12.0,18.0,12,5.0,"(18978, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj12/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj12/seed002
subject_ablation,cnn_0800_250hz_nsubj12_seed003,cnn,CNN-v1,cnn,0800,250,False,12.0,3.0,12.0,12.0,18.0,12,5.0,"(19222, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj12/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj12/seed003
subject_ablation,cnn_0800_250hz_nsubj12_seed004,cnn,CNN-v1,cnn,0800,250,False,12.0,4.0,12.0,12.0,18.0,12,5.0,"(19541, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj12/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj12/seed004
subject_ablation,cnn_0800_250hz_nsubj12_seed005,cnn,CNN-v1,cnn,0800,250,False,12.0,5.0,12.0,12.0,18.0,12,5.0,"(18634, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj12/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj12/seed005
subject_ablation,cnn_0800_250hz_nsubj14_seed001,cnn,CNN-v1,cnn,0800,250,False,14.0,1.0,14.0,14.0,18.0,14,5.0,"(21796, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj14/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj14/seed001
subject_ablation,cnn_0800_250hz_nsubj14_seed002,cnn,CNN-v1,cnn,0800,250,False,14.0,2.0,14.0,14.0,18.0,14,5.0,"(22014, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj14/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj14/seed002
subject_ablation,cnn_0800_250hz_nsubj14_seed003,cnn,CNN-v1,cnn,0800,250,False,14.0,3.0,14.0,14.0,18.0,14,5.0,"(21922, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj14/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj14/seed003
subject_ablation,cnn_0800_250hz_nsubj14_seed004,cnn,CNN-v1,cnn,0800,250,False,14.0,4.0,14.0,14.0,18.0,14,5.0,"(21578, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj14/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj14/seed004
subject_ablation,cnn_0800_250hz_nsubj14_seed005,cnn,CNN-v1,cnn,0800,250,False,14.0,5.0,14.0,14.0,18.0,14,5.0,"(21818, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj14/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj14/seed005
subject_ablation,cnn_0800_250hz_nsubj18_seed001,cnn,CNN-v1,cnn,0800,250,False,18.0,1.0,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj18/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj18/seed001
subject_ablation,cnn_0800_250hz_nsubj18_seed002,cnn,CNN-v1,cnn,0800,250,False,18.0,2.0,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj18/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj18/seed002
subject_ablation,cnn_0800_250hz_nsubj18_seed003,cnn,CNN-v1,cnn,0800,250,False,18.0,3.0,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj18/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj18/seed003
subject_ablation,cnn_0800_250hz_nsubj18_seed004,cnn,CNN-v1,cnn,0800,250,False,18.0,4.0,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj18/seed004,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj18/seed004
subject_ablation,cnn_0800_250hz_nsubj18_seed005,cnn,CNN-v1,cnn,0800,250,False,18.0,5.0,18.0,18.0,18.0,18,5.0,"(28265, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn/nsubj18/seed005,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn/nsubj18/seed005
subject_ablation,cnn_v2_0800_250hz_nsubj02_seed001,cnn_v2,CNN-v2,cnn_v2,0800,250,False,2.0,1.0,2.0,2.0,18.0,2,2.0,"(3254, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj02/seed001,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj02/seed001
subject_ablation,cnn_v2_0800_250hz_nsubj02_seed002,cnn_v2,CNN-v2,cnn_v2,0800,250,False,2.0,2.0,2.0,2.0,18.0,2,2.0,"(3102, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj02/seed002,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj02/seed002
subject_ablation,cnn_v2_0800_250hz_nsubj02_seed003,cnn_v2,CNN-v2,cnn_v2,0800,250,False,2.0,3.0,2.0,2.0,18.0,2,2.0,"(2903, 32, 201)",/workspace/data/DERCo/inputs,/workspace/data/DERCo/checkpoints/subject_ablation/cnn_v2/nsubj02/seed003,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/cnn_v2/0800/nsubj02/seed003
