run_name,model,model_display,subject_count,n_subjects_requested,ablation_seed,selected_subjects,selected_subjects_key,n_folds,oof_auc,oof_accuracy,oof_balanced_accuracy,oof_f1,global_threshold,threshold_used,n_oof_samples,run_dir
eegnet_0800_250hz_nsubj02_seed003,eegnet,EEGNet,2.0,2.0,3.0,"['HMK96', 'SIT48']",HMK96|SIT48,2.0,0.5636591478696742,0.5525318635893903,0.5516058137768665,0.6009216589861751,0.47700000000000004,0.47700000000000004,2903,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj02/seed003
eegnet_0800_250hz_nsubj02_seed004,eegnet,EEGNet,2.0,2.0,4.0,"['SAB93', 'WHR08']",SAB93|WHR08,2.0,0.5418063962740444,0.5400183992640294,0.5395677755999564,0.5195387572069187,0.515,0.515,3261,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj02/seed004
eegnet_0800_250hz_nsubj02_seed005,eegnet,EEGNet,2.0,2.0,5.0,"['RRO98', 'TRA37']",RRO98|TRA37,2.0,0.6063817214415614,0.5771790808240888,0.5784067685143646,0.5991586538461539,0.459,0.459,3155,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj02/seed005
eegnet_0800_250hz_nsubj04_seed001,eegnet,EEGNet,4.0,4.0,1.0,"['NXB64', 'OLW10', 'SAB93', 'WJX11']",NXB64|OLW10|SAB93|WJX11,4.0,0.5909558530406491,0.5727136431784108,0.5721235286452677,0.5499052432090966,0.514,0.514,6670,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj04/seed001
eegnet_0800_250hz_nsubj04_seed002,eegnet,EEGNet,4.0,4.0,2.0,"['HMK96', 'LYY64', 'MNY88', 'SAB93']",HMK96|LYY64|MNY88|SAB93,4.0,0.6061051115845975,0.5790973159394212,0.5790362343020218,0.5733394132846937,0.501,0.501,6669,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj04/seed002
eegnet_0800_250hz_nsubj04_seed003,eegnet,EEGNet,4.0,4.0,3.0,"['HMK96', 'LRK01', 'LYY64', 'SAB93']",HMK96|LRK01|LYY64|SAB93,4.0,0.580636850995796,0.5656101668963406,0.5653403048364873,0.5452796922583747,0.521,0.521,6531,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj04/seed003
eegnet_0800_250hz_nsubj04_seed004,eegnet,EEGNet,4.0,4.0,4.0,"['QFT39', 'QPI83', 'TRA37', 'UJM92']",QFT39|QPI83|TRA37|UJM92,4.0,0.6020690751269672,0.5812089145422479,0.5817668122962532,0.587622355541522,0.482,0.482,6237,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj04/seed004
eegnet_0800_250hz_nsubj04_seed005,eegnet,EEGNet,4.0,4.0,5.0,"['DGR11', 'QPI83', 'SAB93', 'TRA37']",DGR11|QPI83|SAB93|TRA37,4.0,0.595639274246654,0.5695332480818415,0.5691898246937072,0.5571452063805296,0.515,0.515,6256,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj04/seed005
eegnet_0800_250hz_nsubj06_seed001,eegnet,EEGNet,6.0,6.0,1.0,"['DGR11', 'JPY86', 'MRB47', 'NXB64', 'RRO98', 'UJM92']",DGR11|JPY86|MRB47|NXB64|RRO98|UJM92,5.0,0.6018953052112983,0.5767156603574072,0.5758452801770317,0.554578836096584,0.496,0.496,9457,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj06/seed001
eegnet_0800_250hz_nsubj06_seed002,eegnet,EEGNet,6.0,6.0,2.0,"['HMK96', 'LRK01', 'LYY64', 'NXB64', 'QPI83', 'TRA37']",HMK96|LRK01|LYY64|NXB64|QPI83|TRA37,5.0,0.6069625222223481,0.5779989523310634,0.5789000193510876,0.5931313131313132,0.494,0.494,9545,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj06/seed002
eegnet_0800_250hz_nsubj06_seed003,eegnet,EEGNet,6.0,6.0,3.0,"['HMK96', 'JPY86', 'LRK01', 'QPI83', 'TRA37', 'WHR08']",HMK96|JPY86|LRK01|QPI83|TRA37|WHR08,5.0,0.6027073290972831,0.5779836277466609,0.5792222478052259,0.6033610042518729,0.47600000000000003,0.47600000000000003,9284,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj06/seed003
eegnet_0800_250hz_nsubj06_seed004,eegnet,EEGNet,6.0,6.0,4.0,"['OLW10', 'QFT39', 'SIT48', 'TRA37', 'UJM92', 'WJX11']",OLW10|QFT39|SIT48|TRA37|UJM92|WJX11,5.0,0.6041032881722659,0.5824827132038196,0.5826697636091589,0.592282958199357,0.482,0.482,9111,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj06/seed004
eegnet_0800_250hz_nsubj06_seed005,eegnet,EEGNet,6.0,6.0,5.0,"['DGR11', 'NXB64', 'OLW10', 'QFT39', 'RRO98', 'SAB93']",DGR11|NXB64|OLW10|QFT39|RRO98|SAB93,5.0,0.5781368566110674,0.5558580358943336,0.5573438994787159,0.5904230590423059,0.459,0.459,9918,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj06/seed005
eegnet_0800_250hz_nsubj08_seed001,eegnet,EEGNet,8.0,8.0,1.0,"['DGR11', 'JPY86', 'MNY88', 'MRB47', 'QFT39', 'SIT48', 'WHR08', 'WJX11']",DGR11|JPY86|MNY88|MRB47|QFT39|SIT48|WHR08|WJX11,5.0,0.6033530902319792,0.5760265450020738,0.575789433610247,0.5626016260162602,0.5,0.5,12055,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj08/seed001
eegnet_0800_250hz_nsubj08_seed002,eegnet,EEGNet,8.0,8.0,2.0,"['HMK96', 'LRK01', 'LYY64', 'MRB47', 'NXB64', 'QFT39', 'SIT48', 'WJX11']",HMK96|LRK01|LYY64|MRB47|NXB64|QFT39|SIT48|WJX11,5.0,0.5933080156853517,0.5702479338842975,0.5704679029088071,0.579980994615141,0.503,0.503,12342,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj08/seed002
eegnet_0800_250hz_nsubj08_seed003,eegnet,EEGNet,8.0,8.0,3.0,"['HMK96', 'JPY86', 'LRK01', 'OLW10', 'QPI83', 'SAB93', 'TRA37', 'WHR08']",HMK96|JPY86|LRK01|OLW10|QPI83|SAB93|TRA37|WHR08,5.0,0.5907184510498881,0.5699231439664052,0.5699037808731708,0.5656209987195903,0.502,0.502,12621,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj08/seed003
eegnet_0800_250hz_nsubj08_seed004,eegnet,EEGNet,8.0,8.0,4.0,"['HMK96', 'NXB64', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08']",HMK96|NXB64|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08,5.0,0.6094748662233371,0.5811443536227283,0.5816738582126357,0.5946859161419137,0.493,0.493,12601,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj08/seed004
eegnet_0800_250hz_nsubj08_seed005,eegnet,EEGNet,8.0,8.0,5.0,"['DGR11', 'MNY88', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'TRA37']",DGR11|MNY88|NXB64|OLW10|QFT39|QPI83|RRO98|TRA37,5.0,0.6211004628350241,0.5931701231872758,0.5934070558351348,0.5934870676223123,0.505,0.505,12826,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj08/seed005
eegnet_0800_250hz_nsubj10_seed001,eegnet,EEGNet,10.0,10.0,1.0,"['DGR11', 'JPY86', 'LYY64', 'MNY88', 'OLW10', 'RRO98', 'SAB93', 'UJM92', 'WHR08', 'WJX11']",DGR11|JPY86|LYY64|MNY88|OLW10|RRO98|SAB93|UJM92|WHR08|WJX11,5.0,0.6168211217937317,0.586697898045984,0.5874370162683714,0.6037468234737899,0.483,0.483,16223,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj10/seed001
eegnet_0800_250hz_nsubj10_seed002,eegnet,EEGNet,10.0,10.0,2.0,"['HMK96', 'JPY86', 'LRK01', 'MNY88', 'MRB47', 'NXB64', 'QPI83', 'RRO98', 'UJM92', 'WHR08']",HMK96|JPY86|LRK01|MNY88|MRB47|NXB64|QPI83|RRO98|UJM92|WHR08,5.0,0.6097630616480709,0.5808530805687204,0.5812364685975595,0.5848926716315164,0.492,0.492,15825,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj10/seed002
eegnet_0800_250hz_nsubj10_seed003,eegnet,EEGNet,10.0,10.0,3.0,"['DGR11', 'HMK96', 'JPY86', 'NXB64', 'QFT39', 'RRO98', 'SAB93', 'SIT48', 'WHR08', 'WJX11']",DGR11|HMK96|JPY86|NXB64|QFT39|RRO98|SAB93|SIT48|WHR08|WJX11,5.0,0.6112082266738779,0.581666562166907,0.5827589750815938,0.6209952283571916,0.467,0.467,15949,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj10/seed003
eegnet_0800_250hz_nsubj10_seed004,eegnet,EEGNet,10.0,10.0,4.0,"['HMK96', 'MRB47', 'NXB64', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'WJX11']",HMK96|MRB47|NXB64|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|WJX11,5.0,0.6053929925662158,0.5771512406710467,0.5773695115843649,0.580787959274015,0.497,0.497,15677,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj10/seed004
eegnet_0800_250hz_nsubj10_seed005,eegnet,EEGNet,10.0,10.0,5.0,"['DGR11', 'LYY64', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'SAB93', 'TRA37', 'WHR08', 'WJX11']",DGR11|LYY64|MRB47|NXB64|OLW10|QFT39|SAB93|TRA37|WHR08|WJX11,5.0,0.6019513222291698,0.570480404551201,0.571125780705792,0.5819233372300499,0.489,0.489,15820,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj10/seed005
eegnet_0800_250hz_nsubj12_seed001,eegnet,EEGNet,12.0,12.0,1.0,"['DGR11', 'HMK96', 'LRK01', 'LYY64', 'MRB47', 'NXB64', 'QFT39', 'QPI83', 'SIT48', 'TRA37', 'UJM92', 'WHR08']",DGR11|HMK96|LRK01|LYY64|MRB47|NXB64|QFT39|QPI83|SIT48|TRA37|UJM92|WHR08,5.0,0.6241691821289687,0.5934442270058709,0.5935772667196786,0.5924916907317604,0.5,0.5,18396,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj12/seed001
eegnet_0800_250hz_nsubj12_seed002,eegnet,EEGNet,12.0,12.0,2.0,"['DGR11', 'HMK96', 'JPY86', 'LYY64', 'MNY88', 'QFT39', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WJX11']",DGR11|HMK96|JPY86|LYY64|MNY88|QFT39|RRO98|SAB93|SIT48|TRA37|UJM92|WJX11,5.0,0.6111395885511635,0.5824639055748762,0.5829279245698459,0.6015687851971038,0.484,0.484,18978,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj12/seed002
eegnet_0800_250hz_nsubj12_seed003,eegnet,EEGNet,12.0,12.0,3.0,"['DGR11', 'HMK96', 'JPY86', 'MNY88', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'TRA37', 'UJM92', 'WHR08']",DGR11|HMK96|JPY86|MNY88|NXB64|OLW10|QFT39|QPI83|RRO98|TRA37|UJM92|WHR08,5.0,0.6251661660027823,0.5923941317240662,0.5920081646592462,0.5788766460628864,0.515,0.515,19222,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj12/seed003
eegnet_0800_250hz_nsubj12_seed004,eegnet,EEGNet,12.0,12.0,4.0,"['HMK96', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'UJM92', 'WJX11']",HMK96|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|UJM92|WJX11,5.0,0.6164187640982562,0.5832352489637174,0.5841568793790487,0.6028866783694168,0.47700000000000004,0.47700000000000004,19541,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj12/seed004
eegnet_0800_250hz_nsubj12_seed005,eegnet,EEGNet,12.0,12.0,5.0,"['DGR11', 'LYY64', 'MNY88', 'MRB47', 'OLW10', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|LYY64|MNY88|MRB47|OLW10|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6143601943358116,0.5858108833315445,0.5868075221412027,0.6095710238769729,0.47700000000000004,0.47700000000000004,18634,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj12/seed005
eegnet_0800_250hz_nsubj14_seed001,eegnet,EEGNet,14.0,14.0,1.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'QFT39', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'WHR08']",DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|QFT39|RRO98|SAB93|SIT48|TRA37|WHR08,5.0,0.6063855842158308,0.5746467241695724,0.5755439086424856,0.6030740249175836,0.484,0.484,21796,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj14/seed001
eegnet_0800_250hz_nsubj14_seed002,eegnet,EEGNet,14.0,14.0,2.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'OLW10', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|HMK96|JPY86|LRK01|LYY64|OLW10|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6172576896985829,0.586626692105024,0.5871865224708002,0.5993660297613806,0.496,0.496,22014,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj14/seed002
eegnet_0800_250hz_nsubj14_seed003,eegnet,EEGNet,14.0,14.0,3.0,"['DGR11', 'HMK96', 'LYY64', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|HMK96|LYY64|MRB47|NXB64|OLW10|QFT39|QPI83|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6200509559952138,0.5884043426694645,0.5884502796901678,0.5855876544343912,0.5,0.5,21922,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj14/seed003
eegnet_0800_250hz_nsubj14_seed004,eegnet,EEGNet,14.0,14.0,4.0,"['DGR11', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'OLW10', 'QFT39', 'QPI83', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|LRK01|LYY64|MNY88|MRB47|OLW10|QFT39|QPI83|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6176637983122919,0.5842524793771434,0.5856947892908354,0.6207887728790633,0.47200000000000003,0.47200000000000003,21578,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj14/seed004
eegnet_0800_250hz_nsubj14_seed005,eegnet,EEGNet,14.0,14.0,5.0,"['DGR11', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92']",DGR11|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92,5.0,0.6107760264519774,0.5786506554221286,0.5796105644687943,0.6006689544329091,0.481,0.481,21818,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj14/seed005
eegnet_0800_250hz_nsubj18_seed001,eegnet,EEGNet,18.0,18.0,1.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6165762967591959,0.5853529099593137,0.5858118554193255,0.5952479624257494,0.488,0.488,28265,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj18/seed001
eegnet_0800_250hz_nsubj18_seed002,eegnet,EEGNet,18.0,18.0,2.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6165762967591959,0.5853529099593137,0.5858118554193255,0.5952479624257494,0.488,0.488,28265,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj18/seed002
eegnet_0800_250hz_nsubj18_seed003,eegnet,EEGNet,18.0,18.0,3.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6165762967591959,0.5853529099593137,0.5858118554193255,0.5952479624257494,0.488,0.488,28265,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj18/seed003
eegnet_0800_250hz_nsubj18_seed004,eegnet,EEGNet,18.0,18.0,4.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6165762967591959,0.5853529099593137,0.5858118554193255,0.5952479624257494,0.488,0.488,28265,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj18/seed004
eegnet_0800_250hz_nsubj18_seed005,eegnet,EEGNet,18.0,18.0,5.0,"['DGR11', 'HMK96', 'JPY86', 'LRK01', 'LYY64', 'MNY88', 'MRB47', 'NXB64', 'OLW10', 'QFT39', 'QPI83', 'RRO98', 'SAB93', 'SIT48', 'TRA37', 'UJM92', 'WHR08', 'WJX11']",DGR11|HMK96|JPY86|LRK01|LYY64|MNY88|MRB47|NXB64|OLW10|QFT39|QPI83|RRO98|SAB93|SIT48|TRA37|UJM92|WHR08|WJX11,5.0,0.6165762967591959,0.5853529099593137,0.5858118554193255,0.5952479624257494,0.488,0.488,28265,/content/drive/MyDrive/Colab_Notebooks/DERCo/outputs/runs/subject_ablation/eegnet/nsubj18/seed005
